property_id,date_found,platform,listing_url,title,area,district,postcode_or_neighborhood,rent,sqm,rooms,furnished,registration,sharing_allowed,available_from,lease_months,agency,opportunity_score,reasons,indefinite,temporary,upholstered,bare,url,student_only,sharing,required_income,eligible,price_per_m2,property_type,budget_limit,household_income,within_budget,validation_issues,validation_status,property_state,status,telegram_message_id
a6ce220175c2,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/09a3c552/kootsekade,"Flat for rent Hillegersberg Zuid, Kootsekade in Rotterdam for €2,150",Rotterdam,,Kootsekade,2150.0,70.0,3.0,False,False,False,,24.0,,55.0,"Within budget, Long-term lease",False,False,False,True,,,,7525.0,False,30.714285714285715,three_room,2000.0,7448.0,False,[],PASS,new,,
3c0d0376a30e,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/1a3a8ac5/joost-banckertsplaats,"Flat for rent: Joost Banckertsplaats, Rotterdam for €1,648",,,,1648.0,80.0,2.0,False,False,False,,24.0,,15.0,"Within budget, Long-term lease",False,False,False,True,,,,5768.0,False,20.6,studio,1000.0,3724.0,False,[],PASS,new,,
e72caf7b68d7,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/2066187c/helen-suzmanhof,"Flat for rent: Helen Suzmanhof 138, Rotterdam for €2,650",,,,2650.0,91.0,5.0,True,False,False,,24.0,,35.0,"Fully furnished, Long-term lease",False,True,False,False,,,,9275.0,True,29.12087912087912,four_room,3000.0,11172.0,True,[],PASS,new,Saved,
98fa1b075a9e,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/22d7cc88/bergweg,"Flat for rent: Bergweg 244 B, Rotterdam for €2,500",,,,2500.0,100.0,4.0,False,False,False,,24.0,,30.0,"Within budget, Long-term lease, Indefinite contract",True,False,True,False,,,,8750.0,True,25.0,four_room,3000.0,11172.0,True,[],PASS,new,Saved,
e9dee54f8182,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/284e3b1d/delftsevaart,"Flat for rent: Delftsevaart 24 B, Rotterdam for €2,000",,,,2000.0,65.0,4.0,False,False,False,,24.0,,60.0,"Within budget, Long-term lease",False,False,True,True,,,,7000.0,True,30.76923076923077,four_room,3000.0,11172.0,True,[],PASS,new,Saved,
aa60a4e4e4c7,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/33339f36/zuidplein,"Flat for rent: Zuidplein 102 C, Rotterdam for €857",,,,857.0,63.0,2.0,False,False,False,,24.0,,30.0,"Within budget, Long-term lease",False,False,False,False,,,,2999.5,True,13.603174603174605,studio,1000.0,3724.0,True,[],PASS,new,,
9ccb4a91333f,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/47627334/piekstraat,"Flat for rent: Piekstraat, Rotterdam for €2,750",,,,2750.0,83.0,3.0,True,False,False,,24.0,,40.0,"Fully furnished, Long-term lease, Indefinite contract",True,True,False,False,,,,9625.0,False,33.13253012048193,three_room,2000.0,7448.0,False,[],PASS,new,,
6f35fa19dcd8,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/4a854dfb/willem-buytewechstraat,"Flat for rent: Willem Buytewechstraat, Rotterdam for €617",,,,617.0,60.0,4.0,False,False,False,,24.0,,60.0,"Within budget, Long-term lease",False,False,True,False,,,,2159.5,True,10.283333333333331,four_room,3000.0,11172.0,True,[],PASS,new,,
5011e6e835ce,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/4bc95fc1/duyvesteynhof,"Flat for rent: Duyvesteynhof, Rotterdam for €1,800",,,,1800.0,56.0,2.0,False,False,False,,24.0,,0.0,"Within budget, Long-term lease",False,True,False,True,,,,6300.0,False,32.142857142857146,studio,1000.0,3724.0,False,[],PASS,new,,
0e6c256ab46c,2026-08-25 20:00,Pararius,https://www.pararius.com/apartment-for-rent/rotterdam/776d8e02/admiraal-de-ruyterweg,"Flat for rent: Admiraal de Ruyterweg 35 E, Rotterdam for €1,750",,,,1750.0,55.0,3.0,False,False,False,,24.0,,55.0,"Within budget, Long-term lease",False,False,True,True,,,,6125.0,True,31.818181818181817,three_room,2000.0,7448.0,True,[],PASS,new,,
