property_id,date_found,platform,title,address,area,rent,rooms,sqm,furnished,registration,sharing_allowed,commute_minutes,listing_age_days,opportunity_score,status,notes,postcode_or_neighborhood,energy_label,agency,available_from,lease_months,listing_url,indefinite,temporary,upholstered,bare,reasons
a6ce220175c2,2026-08-25 19:50,Pararius,"Flat for rent Hillegersberg Zuid, Kootsekade in Rotterdam for €2,150",,Rotterdam,2150,3,70,False,False,False,,,15,,,Kootsekade,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/09a3c552/kootsekade,False,False,False,True,"Within budget, Long-term lease"
3c0d0376a30e,2026-08-25 19:50,Pararius,"Flat for rent: Joost Banckertsplaats, Rotterdam for €1,648",,,1648,2,80,False,False,False,,,15,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/1a3a8ac5/joost-banckertsplaats,False,False,False,True,"Within budget, Long-term lease"
e72caf7b68d7,2026-08-25 19:50,Pararius,"Flat for rent: Helen Suzmanhof 138, Rotterdam for €2,650",,,2650,5,91,True,False,False,,,20,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/2066187c/helen-suzmanhof,False,True,False,False,"Fully furnished, Long-term lease"
98fa1b075a9e,2026-08-25 19:50,Pararius,"Flat for rent: Bergweg 244 B, Rotterdam for €2,500",,,2500,4,100,False,False,False,,,20,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/22d7cc88/bergweg,True,False,True,False,"Within budget, Long-term lease, Indefinite contract"
e9dee54f8182,2026-08-25 19:50,Pararius,"Flat for rent: Delftsevaart 24 B, Rotterdam for €2,000",,,2000,4,65,False,False,False,,,15,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/284e3b1d/delftsevaart,False,False,True,True,"Within budget, Long-term lease"
aa60a4e4e4c7,2026-08-25 19:50,Pararius,"Flat for rent: Zuidplein 102 C, Rotterdam for €857",,,857,2,63,False,False,False,,,15,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/33339f36/zuidplein,False,False,False,False,"Within budget, Long-term lease"
9ccb4a91333f,2026-08-25 19:50,Pararius,"Flat for rent: Piekstraat, Rotterdam for €2,750",,,2750,3,83,True,False,False,,,25,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/47627334/piekstraat,True,True,False,False,"Fully furnished, Long-term lease, Indefinite contract"
6f35fa19dcd8,2026-08-25 19:50,Pararius,"Flat for rent: Willem Buytewechstraat, Rotterdam for €617",,,617,4,60,False,False,False,,,15,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/4a854dfb/willem-buytewechstraat,False,False,True,False,"Within budget, Long-term lease"
5011e6e835ce,2026-08-25 19:50,Pararius,"Flat for rent: Duyvesteynhof, Rotterdam for €1,800",,,1800,2,56,False,False,False,,,15,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/4bc95fc1/duyvesteynhof,False,True,False,True,"Within budget, Long-term lease"
0e6c256ab46c,2026-08-25 19:50,Pararius,"Flat for rent: Admiraal de Ruyterweg 35 E, Rotterdam for €1,750",,,1750,3,55,False,False,False,,,15,,,,,,,24,https://www.pararius.com/apartment-for-rent/rotterdam/776d8e02/admiraal-de-ruyterweg,False,False,True,True,"Within budget, Long-term lease"
